,T,LTV,GKW,HTV
2023-06-01 00:00:00,11.5,12032125.639399515,1841259.0998252877,4958255.663307036
2023-06-01 00:05:00,11.391666666666667,9574193.64527135,3920541.5600832254,5576159.600563237
2023-06-01 00:10:00,11.283333333333333,8989166.888755608,1732548.5749309617,3100473.572111275
2023-06-01 00:15:00,11.175,10115209.132956635,1958084.2388746277,5111756.07690108
2023-06-01 00:20:00,11.066666666666666,9143021.6578091,2467509.688643362,4926430.996763851
2023-06-01 00:25:00,10.958333333333334,11518012.127022732,3363250.921325507,3778444.3989552218
2023-06-01 00:30:00,10.850000000000001,9749944.335299313,2993015.909731665,5847221.7924538255
2023-06-01 00:35:00,10.741666666666667,12245799.176433919,2830389.6498997947,3778673.639873667
2023-06-01 00:40:00,10.633333333333335,13254918.921784764,2135335.2451469973,3515268.970558888
2023-06-01 00:45:00,10.525,10451604.257690191,1431913.582514612,4352908.622153531
2023-06-01 00:50:00,10.416666666666668,10317225.188412959,2028438.246141898,4643145.994522565
2023-06-01 00:55:00,10.308333333333334,9283724.508014286,3722363.33070913,4207848.016878898
2023-06-01 01:00:00,10.200000000000001,10364566.790403297,3260174.960411476,5482189.266041058
2023-06-01 01:05:00,10.175,10281026.696966637,2176935.42069875,4099202.719527186
2023-06-01 01:10:00,10.15,12500479.616860526,3177175.290601893,3533923.4027058864
2023-06-01 01:15:00,10.125,12232197.29247183,3029992.2665604,4550535.403383687
2023-06-01 01:20:00,10.100000000000001,9765648.479144674,2182951.2529124124,3879252.7367683793
2023-06-01 01:25:00,10.075000000000001,10883874.81293696,1755689.4357055062,4294956.772201214
2023-06-01 01:30:00,10.05,15303120.219765598,2181315.351733597,3728761.3461086685
2023-06-01 01:35:00,10.025,11205440.34794509,2132415.8308560634,3391974.118643908
2023-06-01 01:40:00,10.0,10343343.084584136,4158439.571836224,4551294.584753411
2023-06-01 01:45:00,9.975000000000001,12396457.575523686,2709588.4600115055,5613413.096463522
2023-06-01 01:50:00,9.950000000000001,12655147.761140097,2925535.8944152617,5388590.666605455
2023-06-01 01:55:00,9.925,12485317.189961413,4007486.201526177,2378618.5840914813
2023-06-01 02:00:00,9.9,11159222.141135607,1951133.2990507688,5061306.873759486
2023-06-01 02:05:00,9.883333333333333,10101015.160880664,1505539.9869817083,4908307.061520378
2023-06-01 02:10:00,9.866666666666667,13280716.815656688,970159.6963584451,5526338.868241954
2023-06-01 02:15:00,9.850000000000001,13667589.494133329,3528567.467657248,4894721.265171218
2023-06-01 02:20:00,9.833333333333334,11278467.821003584,1532797.1086054638,3332619.4945502696
