,T,LTV,GKW,HTV
2023-06-01 00:00:00,11.5,9494443.737507924,2113617.162820309,3763519.6600522688
2023-06-01 00:05:00,11.391666666666667,11044619.726450369,3691881.863170364,4150941.815243369
2023-06-01 00:10:00,11.283333333333333,7567463.791568901,1925576.4290501452,4239679.399415493
2023-06-01 00:15:00,11.175,10195189.071597628,3822199.5422482546,4271214.545968036
2023-06-01 00:20:00,11.066666666666666,9907424.083359808,2723561.35509246,5634442.210658219
2023-06-01 00:25:00,10.958333333333334,10323864.31204288,3181052.712414452,5359810.693153413
2023-06-01 00:30:00,10.850000000000001,8571222.075046102,2554869.937845426,4353890.551901037
2023-06-01 00:35:00,10.741666666666667,10883382.918636406,2754149.768695773,4770427.089889609
2023-06-01 00:40:00,10.633333333333335,10714342.018845927,913782.3642847468,4318636.653416435
2023-06-01 00:45:00,10.525,7742999.345000407,2373151.48209881,3336644.11770723
2023-06-01 00:50:00,10.416666666666668,7428538.867441686,2549040.140762848,3484811.952516862
2023-06-01 00:55:00,10.308333333333334,10423351.167861145,3210734.888271738,3828831.6586130955
2023-06-01 01:00:00,10.200000000000001,13219331.76701749,3486206.431839143,5255388.916555745
2023-06-01 01:05:00,10.175,12857405.265967462,2056329.0653291738,5348980.409362974
2023-06-01 01:10:00,10.15,8136098.927705184,3528331.767274827,5868456.2005015025
2023-06-01 01:15:00,10.125,9716610.045776831,3028984.8947277195,4898566.956769103
2023-06-01 01:20:00,10.100000000000001,11443865.090951817,2142878.503794581,5843822.433644904
2023-06-01 01:25:00,10.075000000000001,9841102.277051173,3382496.751899914,5965549.271194689
2023-06-01 01:30:00,10.05,11542422.859858707,3081907.53119109,4804007.765383984
2023-06-01 01:35:00,10.025,11781139.518353937,2713619.371801684,3407573.3059149617
2023-06-01 01:40:00,10.0,10418921.749947615,2624589.1935748747,5592339.334125708
2023-06-01 01:45:00,9.975000000000001,13039336.300795143,4211873.4409867255,3839083.637297931
2023-06-01 01:50:00,9.950000000000001,11604351.753766881,2820779.5358874137,5684151.164032459
2023-06-01 01:55:00,9.925,15844890.210566623,2119293.7109716884,4373689.495687917
