,T,LTV,GKW,HTV
2023-03-01 00:00:00,-3.2,30758837.614990275,2762114.2091937773,3550398.461902571
2023-03-01 00:05:00,-3.2666666666666666,33822983.023336306,2921332.508287076,6630279.271379852
2023-03-01 00:10:00,-3.3333333333333335,29281458.33458126,1596402.3310078024,4868861.000550859
2023-03-01 00:15:00,-3.4000000000000004,30265258.379198734,1892144.4926611255,3647265.7609230974
2023-03-01 00:20:00,-3.466666666666667,30617097.385470133,2417233.567438532,4809602.059605603
2023-03-01 00:25:00,-3.533333333333333,29663880.27544601,3390324.967493799,5771509.611326375
2023-03-01 00:30:00,-3.6,33964271.05683362,2783213.0036253743,4232734.859348795
2023-03-01 00:35:00,-3.666666666666667,35770910.06227653,3893292.963603012,3438747.5466611064
2023-03-01 00:40:00,-3.7333333333333334,30522341.73807801,1890051.2496077623,5042691.615084505
2023-03-01 00:45:00,-3.8,35423367.077534765,2876912.3703227025,6976906.471045103
2023-03-01 00:50:00,-3.8666666666666667,33560674.48409135,1458943.3484109368,4977145.972998659
2023-03-01 00:55:00,-3.9333333333333336,30945414.500831112,1649183.5314112264,4412027.632167119
2023-03-01 01:00:00,-4.0,33144787.87751859,2890308.1769523015,4249266.871520199
2023-03-01 01:05:00,-4.116666666666667,32929512.284808464,3523593.599000033,4228917.848584215
2023-03-01 01:10:00,-4.233333333333333,33390300.079260916,2403377.0293446025,5402094.143975966
2023-03-01 01:15:00,-4.35,36470067.2668498,2033049.2871772978,3453513.4120269064
2023-03-01 01:20:00,-4.466666666666667,33237443.59730475,2833583.9001526074,4689425.061963468
2023-03-01 01:25:00,-4.583333333333334,34078161.748604,2230125.5787270213,3869646.6260364787
2023-03-01 01:30:00,-4.7,36417982.41241944,1928451.4839912192,3478930.828795339
2023-03-01 01:35:00,-4.816666666666666,31535980.782034874,1081496.325601565,4048980.4270617072
2023-03-01 01:40:00,-4.933333333333334,37941176.66542166,3063467.6432981286,3875524.79938228
2023-03-01 01:45:00,-5.050000000000001,34291679.92145295,3878920.8661987046,3357051.685032447
2023-03-01 01:50:00,-5.166666666666667,35102898.10596098,3032505.164709783,3398555.422209605
2023-03-01 01:55:00,-5.283333333333333,39342153.27165502,3505840.2932053693,4852927.088464122
2023-03-01 02:00:00,-5.4,34712691.621477075,2127965.302553465,5414412.482000835
2023-03-01 02:05:00,-5.375,36088436.62648359,2313766.102690012,5567836.954354771
2023-03-01 02:10:00,-5.3500000000000005,34415066.48900595,3661754.9898859346,5130717.821398182
2023-03-01 02:15:00,-5.325,33749472.257830724,1790125.677965182,3433034.958653096
2023-03-01 02:20:00,-5.300000000000001,32721570.948459484,2492312.592024062,4916774.128292753
2023-03-01 02:25:00,-5.275,34705945.83001419,2867797.883542636,3012084.6493289783
2023-03-01 02:30:00,-5.25,36358232.387240574,3791588.6708871517,5069131.087927513
2023-03-01 02:35:00,-5.2250000000000005,36379943.23401688,2580978.9927867623,3770220.2120547732
2023-03-01 02:40:00,-5.2,38704365.19789714,2977548.1348015564,4818786.215416027
2023-03-01 02:45:00,-5.175000000000001,39369941.23558062,3144477.962486222,5725276.919080002
2023-03-01 02:50:00,-5.15,37446454.55812989,2089302.259170515,4336733.656089628
2023-03-01 02:55:00,-5.125000000000001,36150012.62718022,3194552.788988266,5037488.285711186
2023-03-01 03:00:00,-5.1000000000000005,38354505.93457662,2443523.5851673256,3582251.1065484756
2023-03-01 03:05:00,-5.041666666666667,36033767.315262094,3188960.770266531,3359586.8711008434
2023-03-01 03:10:00,-4.983333333333334,34771800.520431906,1631942.6977085164,4371701.04505261
2023-03-01 03:15:00,-4.925000000000001,34452505.750930935,3911792.104653703,4821703.786215272
2023-03-01 03:20:00,-4.866666666666667,35908926.83555119,2359286.509174858,3090020.84431006
2023-03-01 03:25:00,-4.808333333333334,37309569.92900292,2031921.0591195447,2881759.513457933
2023-03-01 03:30:00,-4.75,37027494.58509741,2447120.039378125,3829217.3646771135
2023-03-01 03:35:00,-4.691666666666667,34481298.3238584,2324604.7775393915,2715666.6803254667
2023-03-01 03:40:00,-4.633333333333334,31977945.268643014,2726384.435573529,5621524.195231754
2023-03-01 03:45:00,-4.575,36767401.53142897,2664827.4958574595,4667431.185414502
2023-03-01 03:50:00,-4.5166666666666675,36021944.99910502,3253962.993307713,4452829.552444132
2023-03-01 03:55:00,-4.458333333333334,31299718.77619219,2804269.064909215,3915788.930869147
2023-03-01 04:00:00,-4.4,34168631.241009384,1835224.5665632198,2685176.7532326626
2023-03-01 04:05:00,-4.433333333333334,35991442.55902811,3014071.255770406,4672131.38975844
2023-03-01 04:10:00,-4.466666666666667,39178032.21888936,1239110.8026372727,3620392.3522276403
2023-03-01 04:15:00,-4.5,30248278.706612833,2104214.0878089196,2970294.554004747
2023-03-01 04:20:00,-4.533333333333334,34261371.942116946,2590512.40240551,5921733.147380406
2023-03-01 04:25:00,-4.566666666666667,33430015.713836268,1642752.3238394144,5631854.607208355
2023-03-01 04:30:00,-4.6000000000000005,36909834.85640229,2409020.9429848786,5742953.920883805
2023-03-01 04:35:00,-4.633333333333334,32735671.03145596,2717148.844177898,4820389.840260352
2023-03-01 04:40:00,-4.666666666666667,36012390.13900987,2125342.2706789654,5403691.908048559
2023-03-01 04:45:00,-4.700000000000001,33862267.36620573,252245.53661049902,2433766.933197197
2023-03-01 04:50:00,-4.733333333333334,36975876.52191667,3462367.8220100873,3336549.866787085
2023-03-01 04:55:00,-4.7666666666666675,36003612.580219984,1931262.9748071902,4974596.150836574
2023-03-01 05:00:00,-4.800000000000001,35092447.63454111,2402080.585025936,5053160.881789703
2023-03-01 05:05:00,-4.700000000000001,32727816.00353296,3066746.0011670683,3115619.394611556
2023-03-01 05:10:00,-4.6000000000000005,33301577.602767397,1477278.5168552918,4622871.450366937
2023-03-01 05:15:00,-4.500000000000001,35793231.59222097,3499561.126558276,5769308.066522999
2023-03-01 05:20:00,-4.4,37742095.56222584,2531423.2083335454,4926330.0999373635
2023-03-01 05:25:00,-4.300000000000001,32207460.889243633,3268038.8128407123,4667861.593681446
2023-03-01 05:30:00,-4.2,34667375.423640884,2533077.2381476206,5594641.877572281
