,T,LTV,GKW,HTV
2023-03-01 00:00:00,-3.2,34265657.42377467,2006754.2904850072,4628134.735232771
2023-03-01 00:05:00,-3.2666666666666666,30436454.251231454,3261613.6968364934,4736225.749175379
2023-03-01 00:10:00,-3.3333333333333335,31882586.57016864,1509051.4734742902,3944556.28464971
2023-03-01 00:15:00,-3.4000000000000004,29218362.56866681,1685710.1480301013,3893846.794386353
2023-03-01 00:20:00,-3.466666666666667,35667106.09013064,2490852.6703501,5925507.193241239
2023-03-01 00:25:00,-3.533333333333333,35425666.70422375,2488096.816487803,5888188.617418133
2023-03-01 00:30:00,-3.6,33269351.39807321,2587768.7520797555,4252987.117823432
2023-03-01 00:35:00,-3.666666666666667,32862423.90000023,2053544.6207957915,3655277.0903054173
2023-03-01 00:40:00,-3.7333333333333334,34376255.61554831,3147315.5196861024,3984477.5829863395
2023-03-01 00:45:00,-3.8,30592325.64153431,4401952.694318898,3615264.2173883207
2023-03-01 00:50:00,-3.8666666666666667,38014197.975809224,2814137.7192422748,4549467.504621608
2023-03-01 00:55:00,-3.9333333333333336,34607266.44525011,2511079.2452404713,4375125.220055844
2023-03-01 01:00:00,-4.0,35484522.54309169,2562517.3508498464,4903153.6525911465
2023-03-01 01:05:00,-4.116666666666667,36089258.11600702,1770487.014506191,4516180.664611842
2023-03-01 01:10:00,-4.233333333333333,32165264.330632877,1591139.6461571169,4095282.640190619
2023-03-01 01:15:00,-4.35,36142697.77751322,2590337.0170793873,4283176.127342249
2023-03-01 01:20:00,-4.466666666666667,35891396.19142478,1680921.2564521069,5137252.830060469
2023-03-01 01:25:00,-4.583333333333334,34025876.840665326,1738337.186051264,5081528.162892694
2023-03-01 01:30:00,-4.7,37692565.70771542,4040403.4692528364,3790051.3031866867
2023-03-01 01:35:00,-4.816666666666666,34181474.00444347,2746185.7054615226,5189727.3925996935
2023-03-01 01:40:00,-4.933333333333334,36657550.170036756,1532569.5482259467,3977268.6731441263
2023-03-01 01:45:00,-5.050000000000001,33934457.59505561,2082856.7767937265,4309530.178262405
2023-03-01 01:50:00,-5.166666666666667,32687364.346833713,2596397.461424385,4315408.239778152
2023-03-01 01:55:00,-5.283333333333333,33721742.00440861,3160540.316928173,5356924.955235981
2023-03-01 02:00:00,-5.4,33096005.668284178,4899806.837753052,4475572.7784837745
2023-03-01 02:05:00,-5.375,34579086.97434213,3277548.157741389,4202553.327981579
2023-03-01 02:10:00,-5.3500000000000005,34700660.89011871,552742.3596402593,3526990.455468263
2023-03-01 02:15:00,-5.325,36330313.81317679,2885877.61533684,3810552.739525061
2023-03-01 02:20:00,-5.300000000000001,30893825.03729061,2693393.8940561414,5020415.839309517
2023-03-01 02:25:00,-5.275,34757437.788090065,2714002.5197113957,5245776.972239808
2023-03-01 02:30:00,-5.25,37832660.26813103,2582892.330421469,4569475.963246516
2023-03-01 02:35:00,-5.2250000000000005,37601708.301759355,2884847.4653510936,3673449.732434759
2023-03-01 02:40:00,-5.2,39297220.78444984,3174490.646118783,5203083.963988934
2023-03-01 02:45:00,-5.175000000000001,37381545.474299796,1990418.0349310176,3183307.2656817907
2023-03-01 02:50:00,-5.15,35712908.19665744,3176984.1559818042,4294043.35761546
2023-03-01 02:55:00,-5.125000000000001,35506394.34377119,3626261.696990273,4412813.453071055
2023-03-01 03:00:00,-5.1000000000000005,35571160.89565794,2611148.566447992,4502042.045335621
2023-03-01 03:05:00,-5.041666666666667,34378231.84180835,3583547.5234962925,4917515.902111938
2023-03-01 03:10:00,-4.983333333333334,31144604.77434715,1839130.3177569308,4566684.537094492
2023-03-01 03:15:00,-4.925000000000001,30933127.923792258,2947697.6824815376,3361311.222552024
2023-03-01 03:20:00,-4.866666666666667,36631127.5054221,2239699.7923952234,4094999.8220109874
2023-03-01 03:25:00,-4.808333333333334,31854858.930814706,2811717.793811028,4265013.787937922
2023-03-01 03:30:00,-4.75,34791274.9496021,2191754.4603757225,4565995.21762707
2023-03-01 03:35:00,-4.691666666666667,36717183.92696446,2086535.01523816,6359038.169658847
2023-03-01 03:40:00,-4.633333333333334,39100550.855524845,1948811.8197594206,4529488.469374165
2023-03-01 03:45:00,-4.575,34893477.160275474,3713742.423880164,6462681.116155569
2023-03-01 03:50:00,-4.5166666666666675,32541677.597222555,4073738.0007899934,4185477.275416677
2023-03-01 03:55:00,-4.458333333333334,36471832.54281563,2555423.643584709,4920671.562628384
2023-03-01 04:00:00,-4.4,30779455.2504969,2148653.2432244667,3816574.288969356
2023-03-01 04:05:00,-4.433333333333334,35067848.25634838,2054309.3839677433,5716699.68222011
2023-03-01 04:10:00,-4.466666666666667,35821099.59208441,1848213.2188350507,4912557.276039993
2023-03-01 04:15:00,-4.5,35113715.81639561,1355308.9956560414,4786850.49789119
2023-03-01 04:20:00,-4.533333333333334,37433369.34399756,2291834.8624748327,3147204.14788001
