,T,LTV,GKW,HTV
2023-03-01 00:00:00,-3.2,34080776.08485745,1724458.8526454142,4632672.383028725
2023-03-01 00:05:00,-3.2666666666666666,30413491.03086699,2046604.1769412803,4255688.006391546
2023-03-01 00:10:00,-3.3333333333333335,32230769.86740762,3021359.858233429,4835360.538900252
2023-03-01 00:15:00,-3.4000000000000004,34097193.08641672,2121866.636668399,6228554.863364799
2023-03-01 00:20:00,-3.466666666666667,31547497.201608635,3134533.743141677,4958686.630628462
2023-03-01 00:25:00,-3.533333333333333,32760434.406960938,2067462.339367832,2998683.47947913
2023-03-01 00:30:00,-3.6,31720827.946806416,2693265.929907996,3442036.9705928573
2023-03-01 00:35:00,-3.666666666666667,32367202.872299038,2482664.4238187987,6102334.8794806
2023-03-01 00:40:00,-3.7333333333333334,35551750.445960976,3241986.0194129595,4030493.5107355304
2023-03-01 00:45:00,-3.8,32680642.31806951,2774978.5851159515,4549914.930992236
2023-03-01 00:50:00,-3.8666666666666667,31923581.893678207,2805080.855981743,4347528.378438961
2023-03-01 00:55:00,-3.9333333333333336,30477794.26978561,3729163.4072412546,4890979.23794169
2023-03-01 01:00:00,-4.0,33511594.917172093,3234691.289595308,6130291.342115498
2023-03-01 01:05:00,-4.116666666666667,34766141.95280821,1968868.9030259214,4899918.262334044
2023-03-01 01:10:00,-4.233333333333333,33536217.910593774,3009524.761172216,6345983.543363502
2023-03-01 01:15:00,-4.35,36472315.5596279,1660466.3100189432,4853701.937603932
2023-03-01 01:20:00,-4.466666666666667,32017381.673863765,2304315.8608853174,4050582.4334710594
2023-03-01 01:25:00,-4.583333333333334,32110258.992615655,2213322.185183112,3459266.0530683184
2023-03-01 01:30:00,-4.7,36644805.67299549,3561371.878720465,4844292.473394793
2023-03-01 01:35:00,-4.816666666666666,33517298.84085007,2437169.303838168,3590069.671310009
2023-03-01 01:40:00,-4.933333333333334,34056316.86253023,2299883.4512079884,3236671.0935303504
2023-03-01 01:45:00,-5.050000000000001,36199635.10227786,2938879.5573336952,3463799.292498529
2023-03-01 01:50:00,-5.166666666666667,36854941.04781344,2762675.996310156,2503941.4342900715
2023-03-01 01:55:00,-5.283333333333333,32845533.48878392,4397998.098942262,4142511.2819133205
2023-03-01 02:00:00,-5.4,33527888.261236344,3471947.572427175,3563366.736827127
2023-03-01 02:05:00,-5.375,37506277.74214291,3429219.514610976,4831599.377609426
2023-03-01 02:10:00,-5.3500000000000005,38891408.61527553,2898058.2785884026,4850761.795870995
2023-03-01 02:15:00,-5.325,33378686.97433758,2257394.6618481837,3035088.384733739
2023-03-01 02:20:00,-5.300000000000001,35282707.64457252,2296975.072419243,4832006.75086904
2023-03-01 02:25:00,-5.275,36321180.939169966,1745977.0911722586,3328582.9365126467
2023-03-01 02:30:00,-5.25,34040188.348715864,3024724.3966669138,3661569.367422658
2023-03-01 02:35:00,-5.2250000000000005,34217732.29646776,3037262.066236946,4873747.786353319
2023-03-01 02:40:00,-5.2,37242372.37146088,2855253.7984470464,5471794.405354099
2023-03-01 02:45:00,-5.175000000000001,33299957.977779873,2091092.3131657373,5094858.181679572
2023-03-01 02:50:00,-5.15,36266855.58210564,1721120.5883064233,4433587.306974082
2023-03-01 02:55:00,-5.125000000000001,36617716.41829495,2708025.552471521,2681630.38196495
2023-03-01 03:00:00,-5.1000000000000005,34716421.03585388,1831118.464152792,3866363.814208242
2023-03-01 03:05:00,-5.041666666666667,34335535.03663652,1653379.5270518297,5600035.917333837
2023-03-01 03:10:00,-4.983333333333334,33875550.555262394,2996083.8389415527,3942631.3415322783
2023-03-01 03:15:00,-4.925000000000001,37450646.305115476,2126494.5067425007,3984319.210541033
