,T,LTV,GKW,HTV
2023-03-01 00:00:00,-3.2,34320839.21328485,1850356.654000437,4679132.844544963
2023-03-01 00:05:00,-3.2666666666666666,33900513.03911717,2398373.6322944327,3146060.1382505423
2023-03-01 00:10:00,-3.3333333333333335,29528943.43024517,2965893.183330928,5388112.111408762
2023-03-01 00:15:00,-3.4000000000000004,34720760.16109217,2500979.762585784,4518219.501484585
2023-03-01 00:20:00,-3.466666666666667,34608887.91158087,3036155.6141381604,2945713.1205747896
2023-03-01 00:25:00,-3.533333333333333,34046518.80678286,4171983.69247022,4275885.17022177
2023-03-01 00:30:00,-3.6,34652608.610243425,2145835.1740521006,4804263.510838954
2023-03-01 00:35:00,-3.666666666666667,33733886.87250682,2109708.913089862,5317726.736735976
2023-03-01 00:40:00,-3.7333333333333334,31873428.483004425,2949892.1273729783,4561386.170153903
2023-03-01 00:45:00,-3.8,36390207.87193024,2180055.6805052646,6241068.818333015
2023-03-01 00:50:00,-3.8666666666666667,33254528.977464486,1945251.4811859601,3355550.570298504
2023-03-01 00:55:00,-3.9333333333333336,33000732.265815984,3594911.158669715,4597257.626615271
2023-03-01 01:00:00,-4.0,31161839.383994877,3049091.4819585746,4149505.084591155
2023-03-01 01:05:00,-4.116666666666667,31496981.3622245,3504034.080136364,5495461.50896775
2023-03-01 01:10:00,-4.233333333333333,31334519.341523252,2378674.163433703,4219395.129062494
2023-03-01 01:15:00,-4.35,35190887.0584778,3206039.0731657683,4026908.272550193
2023-03-01 01:20:00,-4.466666666666667,34285258.6445558,2807928.7736573764,6142717.703915668
2023-03-01 01:25:00,-4.583333333333334,35312787.78204962,3702512.967684677,4068569.4160114517
2023-03-01 01:30:00,-4.7,34612904.87547608,1450794.6272767482,3493049.0860269303
2023-03-01 01:35:00,-4.816666666666666,38878533.86471734,1812388.6955154196,5252946.222240934
2023-03-01 01:40:00,-4.933333333333334,35314698.28256048,2481697.835692361,4643098.502108586
2023-03-01 01:45:00,-5.050000000000001,36106736.768028304,1878342.1193984,3908201.2998239347
2023-03-01 01:50:00,-5.166666666666667,33534000.384614643,1944255.1203669836,5584462.661552017
