,T,LTV,GKW,HTV
2023-03-01 00:00:00,-3.2,32549338.55923683,3312312.6998235527,4850100.662302385
2023-03-01 00:05:00,-3.2666666666666666,30490037.97744179,1532959.6714267193,2962692.952133692
2023-03-01 00:10:00,-3.3333333333333335,34345356.3909486,2664125.124588413,4417383.940379959
2023-03-01 00:15:00,-3.4000000000000004,30652475.829860225,2781222.7580233687,3625433.6015555616
2023-03-01 00:20:00,-3.466666666666667,32090930.997022662,2832222.2196407313,5320124.769379237
2023-03-01 00:25:00,-3.533333333333333,33000831.147847757,3564116.831158654,2973779.5404878394
2023-03-01 00:30:00,-3.6,34008161.62008883,3206506.8392125354,5730193.78581444
2023-03-01 00:35:00,-3.666666666666667,32446748.04194052,2799059.7737376215,5339336.276530607
2023-03-01 00:40:00,-3.7333333333333334,35279546.13749954,2103454.4938248596,4201577.391374668
2023-03-01 00:45:00,-3.8,33603816.68366816,2050409.3618871854,2427214.9423626917
2023-03-01 00:50:00,-3.8666666666666667,35200965.312831536,3063431.295480435,3616581.1421551155
2023-03-01 00:55:00,-3.9333333333333336,33315016.79322909,1825759.1432700516,4986180.833605439
2023-03-01 01:00:00,-4.0,35228040.9508762,2896026.643497992,4581109.50764434
2023-03-01 01:05:00,-4.116666666666667,37374435.18778508,3440313.8826733176,4018699.8636410437
2023-03-01 01:10:00,-4.233333333333333,32356288.032449976,2267586.237345305,4422186.707618308
2023-03-01 01:15:00,-4.35,36840984.07595686,3126855.058882699,7186917.3353900565
2023-03-01 01:20:00,-4.466666666666667,34041744.64001867,2278125.5743888356,4745666.969636513
2023-03-01 01:25:00,-4.583333333333334,35346250.27209867,2160017.576743163,3787459.347366414
2023-03-01 01:30:00,-4.7,33432161.489487812,2567235.1319524907,4645026.997390017
2023-03-01 01:35:00,-4.816666666666666,36632190.945260726,3279749.9124597465,5791425.251621181
2023-03-01 01:40:00,-4.933333333333334,33878442.77974019,2187512.6002442255,4373695.966936592
2023-03-01 01:45:00,-5.050000000000001,34345501.44000924,3036893.055189902,4859468.038112435
2023-03-01 01:50:00,-5.166666666666667,37889072.9978791,2925449.5952177467,4357722.564370466
2023-03-01 01:55:00,-5.283333333333333,34366636.506165445,3178689.4082862553,4608687.465773348
2023-03-01 02:00:00,-5.4,34506668.09351277,1605293.7864870834,4452610.380613027
2023-03-01 02:05:00,-5.375,39283988.771706305,1800872.754048394,4491050.134575845
2023-03-01 02:10:00,-5.3500000000000005,37199493.425974116,2405956.527507784,4757229.168444323
2023-03-01 02:15:00,-5.325,35521543.26597851,2111499.6034842134,4219462.334542981
2023-03-01 02:20:00,-5.300000000000001,34911761.334046215,1788714.5821890743,4495046.081722279
2023-03-01 02:25:00,-5.275,34911705.46902197,2689579.696236826,4183435.279748211
2023-03-01 02:30:00,-5.25,35324872.89954794,2444994.049506168,4186546.0268079555
2023-03-01 02:35:00,-5.2250000000000005,38473868.39810511,2393088.381336362,4125140.3253010875
2023-03-01 02:40:00,-5.2,37702937.151222445,1644430.486333681,3789524.424487806
2023-03-01 02:45:00,-5.175000000000001,36516544.52918709,2206116.307361178,3176799.856518562
2023-03-01 02:50:00,-5.15,34877653.44039067,3096469.240972762,4610723.609261847
2023-03-01 02:55:00,-5.125000000000001,37036995.09049814,3634752.5075173946,4811913.799453514
2023-03-01 03:00:00,-5.1000000000000005,35400151.085003816,3454530.0661861035,5041657.89037202
2023-03-01 03:05:00,-5.041666666666667,34602139.27294177,2193967.28659976,5709057.503660448
2023-03-01 03:10:00,-4.983333333333334,33643324.15472621,3064433.302525365,3567008.632123415
2023-03-01 03:15:00,-4.925000000000001,36442948.98804313,1486218.5496197806,4136281.882490873
2023-03-01 03:20:00,-4.866666666666667,35719628.12391912,2921701.8612938896,4995543.484117287
2023-03-01 03:25:00,-4.808333333333334,36319590.18898377,4007872.0269946754,4063914.4685288817
2023-03-01 03:30:00,-4.75,35427751.714429155,1428828.642758817,4569775.0475756815
2023-03-01 03:35:00,-4.691666666666667,36127437.6868826,1723199.8001226792,5083387.491304368
2023-03-01 03:40:00,-4.633333333333334,36501431.52670766,3265650.9243477103,3621128.3321197256
2023-03-01 03:45:00,-4.575,34036269.77307966,2242642.1679535196,4422586.621606954
2023-03-01 03:50:00,-4.5166666666666675,34586684.637097,1962787.4644477274,3788854.0075473795
2023-03-01 03:55:00,-4.458333333333334,37107795.16461298,2067130.304922307,4277850.563621605
2023-03-01 04:00:00,-4.4,35422414.882544234,2804793.398494781,4614754.62809817
2023-03-01 04:05:00,-4.433333333333334,35455268.873369366,1980278.953451612,4768425.885860729
2023-03-01 04:10:00,-4.466666666666667,31258053.64458563,1182103.8552317016,3439923.541930353
2023-03-01 04:15:00,-4.5,30700822.953383587,1216527.9171898342,4265514.574255094
2023-03-01 04:20:00,-4.533333333333334,35278167.74260812,3323220.940598908,4249811.7247520415
2023-03-01 04:25:00,-4.566666666666667,33668174.092005946,1362251.0773370627,3526282.6361829718
2023-03-01 04:30:00,-4.6000000000000005,35127812.893693775,2728907.831354362,5142963.295708616
2023-03-01 04:35:00,-4.633333333333334,35950546.51084467,3853881.308215763,3976435.935172788
2023-03-01 04:40:00,-4.666666666666667,34281117.3377956,1825187.7399375685,5222898.884116698
2023-03-01 04:45:00,-4.700000000000001,38719543.05516597,1836808.228374877,3866448.949790954
2023-03-01 04:50:00,-4.733333333333334,33728831.80893597,604700.7300240637,4896610.474686465
2023-03-01 04:55:00,-4.7666666666666675,32040262.765890382,3943759.8775809905,5231881.396538043
2023-03-01 05:00:00,-4.800000000000001,36898947.79595431,1897860.2429180345,6379889.664833624
2023-03-01 05:05:00,-4.700000000000001,32172975.517284542,3894634.053366554,4029467.8724532295
2023-03-01 05:10:00,-4.6000000000000005,33756311.76148117,2460024.3160967357,3901164.368820756
2023-03-01 05:15:00,-4.500000000000001,33583986.80290848,2889530.6032052543,2576237.2118286686
2023-03-01 05:20:00,-4.4,34041759.8526806,2378141.753940668,4021149.7996253464
2023-03-01 05:25:00,-4.300000000000001,34600909.460028864,2772197.8980066576,4089249.6700117206
2023-03-01 05:30:00,-4.2,34946340.99571771,2769840.5769332307,2811944.3384774816
2023-03-01 05:35:00,-4.1000000000000005,34353340.26424537,842052.6499921633,5173907.674598059
2023-03-01 05:40:00,-4.0,35229471.214423776,2208217.218565192,4086761.525345219
2023-03-01 05:45:00,-3.9000000000000004,36563302.251948915,2050816.6044465571,5468551.735897694
2023-03-01 05:50:00,-3.8000000000000003,34741099.97219331,3084475.909170544,4298054.425278491
2023-03-01 05:55:00,-3.7,36798160.44578742,3625089.5113750277,5258622.028002691
2023-03-01 06:00:00,-3.6,35014785.251297355,3831507.2461891435,4879004.124271667
2023-03-01 06:05:00,-3.291666666666667,31880009.090501074,4412221.625217035,2270650.9376721955
2023-03-01 06:10:00,-2.9833333333333334,33646990.24419789,3183720.6764162295,2970676.5949093318
2023-03-01 06:15:00,-2.675,32017670.065421376,3743530.8245850895,2460957.54307607
2023-03-01 06:20:00,-2.3666666666666667,28488842.937447965,2780725.572644678,4898950.565433487
2023-03-01 06:25:00,-2.0583333333333336,31248743.42399978,2016874.3385679005,2376649.2098597754
2023-03-01 06:30:00,-1.75,31492259.026707675,1655167.1426302963,5102851.949804463
2023-03-01 06:35:00,-1.4416666666666669,31936914.600870468,1248068.2944830186,3196238.7585906493
2023-03-01 06:40:00,-1.1333333333333333,27664753.594442062,2540816.7277004784,4956136.208147574
2023-03-01 06:45:00,-0.8249999999999997,27352763.9793448,2951865.24031642,4590795.752516777
2023-03-01 06:50:00,-0.5166666666666666,28615387.957931373,3629952.321889539,5887979.833361439
2023-03-01 06:55:00,-0.20833333333333348,25984625.61045712,1482031.5203685919,4468637.216193156
2023-03-01 07:00:00,0.1,27858420.926502604,1280207.9046659723,11335582.637096854
2023-03-01 07:05:00,0.2583333333333333,28442469.51755956,3109095.74687579,13417354.402526287
2023-03-01 07:10:00,0.41666666666666663,24059027.391184174,2835106.3109258288,13274503.951669246
2023-03-01 07:15:00,0.575,25315219.08864314,1078979.8406972373,14290905.592731606
2023-03-01 07:20:00,0.7333333333333333,28600346.92683309,4211694.418974865,11476227.360193942
2023-03-01 07:25:00,0.8916666666666666,30874714.832964562,3129300.9238323728,12795267.53413162
2023-03-01 07:30:00,1.05,27366901.56950245,2930764.960379529,13696963.345202096
