,T,LTV,GKW,HTV
2023-03-01 00:00:00,-3.2,31336033.410146855,2939981.5057382993,5567851.974608451
2023-03-01 00:05:00,-3.2666666666666666,30173318.43099123,2154433.4583221115,5130344.684336916
2023-03-01 00:10:00,-3.3333333333333335,34852459.55598915,1356905.0415623207,5717073.930726499
2023-03-01 00:15:00,-3.4000000000000004,31921393.188954882,2932662.826311414,4135374.50118799
2023-03-01 00:20:00,-3.466666666666667,32305922.215708796,3868869.447814578,2957073.363974484
2023-03-01 00:25:00,-3.533333333333333,33281632.54923087,2078245.9920897316,4118592.2836633874
2023-03-01 00:30:00,-3.6,34397691.64887897,1619941.4087503157,4693522.6854802035
2023-03-01 00:35:00,-3.666666666666667,34129936.98729993,3005124.538819595,5814627.814538961
2023-03-01 00:40:00,-3.7333333333333334,36138621.081636205,3372724.637897873,3190694.06488044
2023-03-01 00:45:00,-3.8,33110791.342860654,2541471.308013848,3941648.8081844607
2023-03-01 00:50:00,-3.8666666666666667,33371059.067952074,1492746.6624084914,4961318.845377352
2023-03-01 00:55:00,-3.9333333333333336,36338327.38968731,1982645.4750512666,4904470.985109494
2023-03-01 01:00:00,-4.0,35467464.32753168,3437227.4259692533,4600196.376614628
2023-03-01 01:05:00,-4.116666666666667,37184801.93825264,2432230.330977417,3998845.020041267
2023-03-01 01:10:00,-4.233333333333333,32752139.48006637,3044527.051686246,5180279.308385865
2023-03-01 01:15:00,-4.35,33151563.908910207,2327080.512414447,4625735.22691979
2023-03-01 01:20:00,-4.466666666666667,32169228.113470994,2183593.530426219,4626372.630302514
2023-03-01 01:25:00,-4.583333333333334,31881256.860981375,2244971.850981211,3770089.902042576
2023-03-01 01:30:00,-4.7,32813354.025999043,1758767.7593383756,3972395.6546566575
2023-03-01 01:35:00,-4.816666666666666,35297127.340579204,2915412.4124783208,4555148.671685123
2023-03-01 01:40:00,-4.933333333333334,36601370.21599577,2853846.0224788263,4284187.963355579
2023-03-01 01:45:00,-5.050000000000001,37953339.906934224,3331708.605660312,4225573.648041099
2023-03-01 01:50:00,-5.166666666666667,36394075.44627294,3303655.398363389,3377811.784455036
2023-03-01 01:55:00,-5.283333333333333,36973103.947672576,2571505.71741027,4770800.209593807
2023-03-01 02:00:00,-5.4,38624306.19573212,1676390.069176402,4787077.534796403
2023-03-01 02:05:00,-5.375,38122962.85507514,1703910.445529691,7088738.707859146
2023-03-01 02:10:00,-5.3500000000000005,35303071.876475774,2527988.030449997,5595017.8677924005
